episode,epsilon,episode_reward,avg_loss,win,replay_size,global_step
1.0,0.9991,-23.0,0.0,0.0,14.0,14.0
2.0,0.9982,-30.0,0.0,0.0,44.0,44.0
3.0,0.9973,-30.0,2.33758224140514,0.0,74.0,74.0
4.0,0.9964,-15.0,2.205148180325826,0.0,80.0,80.0
5.0,0.9955,-11.0,2.122959613800049,0.0,82.0,82.0
6.0,0.9946,-30.0,3.0880256266821,0.0,103.0,103.0
7.0,0.9937,-11.0,1.884704351425171,0.0,105.0,105.0
8.0,0.9928,-30.0,1.9880519409974415,0.0,135.0,135.0
9.0,0.9919,-30.0,0.30458803176879884,0.0,165.0,165.0
10.0,0.991,-30.0,0.08084633499383927,0.0,195.0,195.0
11.0,0.9901,-30.0,0.07159978722532591,0.0,225.0,225.0
12.0,0.9892,-9.0,0.37690558899194004,1.0,245.0,245.0
13.0,0.9883,-16.0,2.546658968286855,0.0,252.0,252.0
14.0,0.9874,-30.0,1.2554008749624093,0.0,282.0,282.0
15.0,0.9865,-17.0,0.6744835395365953,0.0,290.0,290.0
16.0,0.9856,-13.0,1.2364672217518091,0.0,294.0,294.0
17.0,0.9847,-16.0,0.7922996282577515,0.0,301.0,301.0
18.0,0.9838,-30.0,1.3210910451908906,0.0,331.0,331.0
19.0,0.9829,-16.0,1.3330888066973006,0.0,338.0,338.0
20.0,0.982,-30.0,0.9506764935950438,0.0,368.0,368.0
21.0,0.9811,-30.0,1.1657308675348759,0.0,398.0,398.0
22.0,0.9802,-30.0,0.7300176650285721,0.0,428.0,428.0
23.0,0.9793,-12.0,1.3411317989230156,0.0,431.0,431.0
24.0,0.9784,-30.0,0.6913655221462249,0.0,461.0,461.0
25.0,0.9775,-14.0,0.09917243272066116,0.0,466.0,466.0
26.0,0.9766,-30.0,0.3237718254327774,0.0,496.0,496.0
27.0,0.9757,-24.0,0.9687009831269582,0.0,511.0,511.0
28.0,0.9748,-30.0,0.614020291964213,0.0,541.0,541.0
29.0,0.9739,-30.0,0.4687789246439934,0.0,571.0,571.0
30.0,0.973,-30.0,0.3542403628428777,0.0,601.0,601.0
31.0,0.9721,-30.0,0.17640073659519354,0.0,631.0,631.0
32.0,0.9712,-30.0,0.37569979193309944,0.0,661.0,661.0
33.0,0.9703,-14.0,0.2408699034154415,1.0,686.0,686.0
34.0,0.9694,-13.0,0.6415186272934079,0.0,690.0,690.0
35.0,0.9685,-22.0,0.8186424059363512,0.0,703.0,703.0
36.0,0.9676,-30.0,0.5009364965061347,0.0,733.0,733.0
37.0,0.9667,-12.0,0.6778289526700974,0.0,736.0,736.0
38.0,0.9658,-30.0,0.3335243755330642,0.0,766.0,766.0
39.0,0.9649,-30.0,0.3588285304605961,0.0,796.0,796.0
40.0,0.964,-19.0,0.34629254676401616,0.0,806.0,806.0
41.0,0.9631,-12.0,0.07909723371267319,0.0,809.0,809.0
42.0,0.9621999999999999,-35.0,0.16783404651169592,0.0,835.0,835.0
43.0,0.9613,-30.0,0.24560440282026927,0.0,865.0,865.0
44.0,0.9604,-30.0,0.22718569487333298,0.0,895.0,895.0
45.0,0.9595,-10.0,0.11763338833337739,1.0,916.0,916.0
46.0,0.9586,-30.0,0.4487758868684371,0.0,946.0,946.0
47.0,0.9577,-13.0,0.07112054899334908,0.0,950.0,950.0
48.0,0.9568,-30.0,0.24364904537796975,0.0,980.0,980.0
49.0,0.9559,-21.0,0.1614479028309385,0.0,992.0,992.0
50.0,0.955,-17.0,0.17656684014946222,0.0,1000.0,1000.0
51.0,0.9541,-30.0,0.32765519643823304,0.0,1000.0,1030.0
52.0,0.9532,-30.0,0.14313931862513224,0.0,1000.0,1060.0
53.0,0.9523,-30.0,0.2467657055705786,0.0,1000.0,1090.0
54.0,0.9514,-14.0,0.15492562979459762,1.0,1000.0,1115.0
55.0,0.9505,-36.0,0.1690309042180026,0.0,1000.0,1142.0
56.0,0.9496,-19.0,0.1415462464094162,0.0,1000.0,1152.0
57.0,0.9487,-30.0,0.19119437461098035,0.0,1000.0,1182.0
58.0,0.9478,-15.0,0.19556422779957452,0.0,1000.0,1188.0
59.0,0.9469,-6.0,0.16510090144241557,1.0,1000.0,1205.0
60.0,0.946,-11.0,0.15029572492296045,1.0,1000.0,1227.0
61.0,0.9451,-30.0,0.1944128928085168,0.0,1000.0,1257.0
62.0,0.9442,-15.0,0.20382905292969483,1.0,1000.0,1283.0
63.0,0.9433,-30.0,0.17025941933194796,0.0,1000.0,1313.0
64.0,0.9424,-30.0,0.1654610256354014,0.0,1000.0,1343.0
65.0,0.9415,-23.0,0.14239948083247458,0.0,1000.0,1357.0
66.0,0.9406,-30.0,0.16223220924536388,0.0,1000.0,1387.0
67.0,0.9397,-30.0,0.1562512864669164,0.0,1000.0,1417.0
68.0,0.9388,-19.0,0.18412028700113298,0.0,1000.0,1427.0
69.0,0.9379,-16.0,0.14485924052340643,0.0,1000.0,1434.0
70.0,0.9369999999999999,-30.0,0.17419541627168655,0.0,1000.0,1464.0
71.0,0.9361,-30.0,0.18409893537561098,0.0,1000.0,1494.0
72.0,0.9352,-30.0,0.17029832949241003,0.0,1000.0,1524.0
73.0,0.9343,-30.0,0.16834492112199465,0.0,1000.0,1554.0
74.0,0.9334,-14.0,0.13558714091777802,0.0,1000.0,1559.0
75.0,0.9325,-30.0,0.14864211256305376,0.0,1000.0,1589.0
76.0,0.9316,-30.0,0.16400926411151887,0.0,1000.0,1619.0
77.0,0.9307,-30.0,0.16493670642375946,0.0,1000.0,1649.0
78.0,0.9298,-39.0,0.14458731735746067,0.0,1000.0,1679.0
79.0,0.9289000000000001,-30.0,0.13774409194787343,0.0,1000.0,1709.0
80.0,0.9279999999999999,-30.0,0.1416768086453279,0.0,1000.0,1739.0
