episode,epsilon,episode_reward,avg_loss,win,replay_size,global_step
1.0,0.9993666666666666,-10.0,0.0,0.0,1.0,1.0
2.0,0.9987333333333334,-12.0,0.0,0.0,4.0,4.0
3.0,0.9981,-40.0,0.0,0.0,44.0,44.0
4.0,0.9974666666666666,10.0,0.0,1.0,45.0,45.0
5.0,0.9968333333333333,-22.0,0.0,0.0,58.0,58.0
6.0,0.9962,-22.0,5.196584637675967,1.0,91.0,91.0
7.0,0.9955666666666667,0.0,4.6901703097603535,1.0,102.0,102.0
8.0,0.9949333333333333,5.0,5.35063640276591,1.0,108.0,108.0
9.0,0.9943,-13.0,5.095662713050842,0.0,112.0,112.0
10.0,0.9936666666666667,-27.0,5.8079189327028065,0.0,130.0,130.0
11.0,0.9930333333333333,-18.0,4.233538808493779,1.0,159.0,159.0
12.0,0.9924,-26.0,3.113395971410415,0.0,176.0,176.0
13.0,0.9917666666666667,-30.0,2.893725258963449,0.0,197.0,197.0
14.0,0.9911333333333333,-4.0,2.2484170118967692,1.0,212.0,212.0
15.0,0.9905,-40.0,1.8298362649977207,0.0,252.0,252.0
16.0,0.9898666666666667,-40.0,0.9429968483746052,0.0,292.0,292.0
17.0,0.9892333333333333,-14.0,0.9105566740036011,0.0,297.0,297.0
18.0,0.9886,-17.0,0.781666211783886,0.0,305.0,305.0
19.0,0.9879666666666667,-27.0,0.6005119913154178,0.0,323.0,323.0
20.0,0.9873333333333333,-40.0,0.35393450064584614,0.0,363.0,363.0
21.0,0.9867,-40.0,0.15660815965384245,0.0,403.0,403.0
22.0,0.9860666666666666,-23.0,0.07705697658307412,1.0,437.0,437.0
23.0,0.9854333333333334,-40.0,0.0631558186840266,0.0,477.0,477.0
24.0,0.9848,-12.0,0.040328265329741916,1.0,500.0,500.0
25.0,0.9841666666666666,-40.0,0.015517424169229344,0.0,540.0,540.0
26.0,0.9835333333333334,-29.0,3.188280140608549,0.0,560.0,560.0
27.0,0.9829,-40.0,1.715994530916214,0.0,600.0,600.0
28.0,0.9822666666666666,-40.0,0.6809905990958214,0.0,640.0,640.0
