episode,beta,episode_reward,avg_loss,win,replay_size,global_step
1.0,0.4005,-15.0,0.0,0.0,6.0,6.0
2.0,0.401,5.0,0.0,1.0,12.0,12.0
3.0,0.4015,-35.0,0.0,0.0,45.0,47.0
4.0,0.402,-11.0,0.0,0.0,49.0,49.0
5.0,0.4025,-35.0,3.9177982430709037,0.0,82.0,84.0
6.0,0.403,-15.0,3.899588425954183,0.0,90.0,90.0
7.0,0.4035,-35.0,3.8895315442766463,0.0,123.0,125.0
8.0,0.404,-12.0,3.8876476287841797,0.0,128.0,128.0
9.0,0.4045,1.0,3.8681962728500365,1.0,138.0,138.0
10.0,0.405,-35.0,3.8309443746294294,0.0,171.0,173.0
11.0,0.4055,-3.0,3.804382937295096,1.0,187.0,187.0
12.0,0.406,-35.0,3.770062255859375,0.0,220.0,222.0
13.0,0.40650000000000003,-35.0,3.7236646584102084,0.0,255.0,257.0
14.0,0.40700000000000003,-35.0,3.6627370629991804,0.0,290.0,292.0
15.0,0.40750000000000003,-35.0,3.6298471178327287,0.0,325.0,327.0
16.0,0.40800000000000003,5.0,3.6633880535761514,1.0,333.0,333.0
17.0,0.40850000000000003,-13.0,3.6364070773124695,0.0,337.0,337.0
18.0,0.40900000000000003,-35.0,3.5752949850899833,0.0,370.0,372.0
19.0,0.40950000000000003,-35.0,3.5730482714516776,0.0,405.0,407.0
20.0,0.41000000000000003,-35.0,3.514758464268276,0.0,440.0,442.0
21.0,0.41050000000000003,-2.0,3.494284758201012,1.0,455.0,455.0
22.0,0.41100000000000003,10.0,3.725937843322754,1.0,456.0,456.0
23.0,0.41150000000000003,-35.0,3.5257898262568883,0.0,489.0,491.0
24.0,0.41200000000000003,5.0,3.579647699991862,1.0,497.0,497.0
25.0,0.41250000000000003,-35.0,3.5069632870810374,0.0,530.0,532.0
26.0,0.41300000000000003,7.0,3.423573672771454,1.0,536.0,536.0
27.0,0.41350000000000003,-35.0,3.499075984954834,0.0,569.0,571.0
28.0,0.41400000000000003,-16.0,3.5438161161210804,1.0,598.0,598.0
29.0,0.41450000000000004,-35.0,3.511677919115339,0.0,631.0,633.0
30.0,0.41500000000000004,-16.0,3.390791211809431,0.0,640.0,640.0
31.0,0.41550000000000004,-16.0,3.41912511416844,0.0,647.0,647.0
32.0,0.41600000000000004,-35.0,3.3877412251063754,0.0,680.0,682.0
33.0,0.41650000000000004,-35.0,3.417885194505964,0.0,715.0,717.0
34.0,0.41700000000000004,-35.0,3.401302889415196,0.0,750.0,752.0
35.0,0.41750000000000004,10.0,3.1745033264160156,1.0,753.0,753.0
36.0,0.41800000000000004,-35.0,3.3763026850564137,0.0,786.0,788.0
37.0,0.41850000000000004,-35.0,3.4036620685032437,0.0,821.0,823.0
38.0,0.41900000000000004,-10.0,3.1103689670562744,0.0,824.0,824.0
39.0,0.41950000000000004,-22.0,3.250025445764715,1.0,857.0,857.0
40.0,0.42000000000000004,-35.0,3.387259190423148,0.0,890.0,892.0
41.0,0.42050000000000004,-35.0,3.2593479565211703,0.0,925.0,927.0
42.0,0.42100000000000004,-35.0,3.4317104952675956,0.0,960.0,962.0
43.0,0.42150000000000004,-14.0,3.367810583114624,0.0,967.0,967.0
44.0,0.42200000000000004,9.0,3.7727177143096924,1.0,969.0,969.0
45.0,0.42250000000000004,-13.0,3.437808394432068,0.0,973.0,973.0
46.0,0.42300000000000004,-35.0,3.406562873295375,0.0,1006.0,1008.0
47.0,0.42350000000000004,-15.0,3.381915291150411,0.0,1014.0,1014.0
48.0,0.42400000000000004,-35.0,3.338064329964774,0.0,1047.0,1049.0
49.0,0.42450000000000004,-31.0,3.4511168003082275,0.0,1071.0,1071.0
50.0,0.42500000000000004,-10.0,3.144540548324585,0.0,1072.0,1072.0
51.0,0.42550000000000004,-35.0,3.3345981666019986,0.0,1105.0,1107.0
52.0,0.42600000000000005,-11.0,2.882941484451294,0.0,1109.0,1109.0
53.0,0.42650000000000005,-11.0,3.3325329477136787,1.0,1131.0,1131.0
54.0,0.42700000000000005,-35.0,3.361124243055071,0.0,1164.0,1166.0
55.0,0.4275,-35.0,3.314680188042777,0.0,1199.0,1201.0
56.0,0.42800000000000005,-35.0,3.3990261827196395,0.0,1234.0,1236.0
57.0,0.4285,-35.0,3.3535179819379533,0.0,1269.0,1271.0
58.0,0.42900000000000005,-35.0,3.4112190450940814,0.0,1304.0,1306.0
59.0,0.4295,-35.0,3.45908020564488,0.0,1339.0,1341.0
60.0,0.43000000000000005,-16.0,3.2117296286991666,0.0,1348.0,1348.0
61.0,0.4305,-35.0,3.4210341998509,0.0,1381.0,1383.0
62.0,0.43100000000000005,10.0,3.2746338844299316,1.0,1384.0,1384.0
63.0,0.4315,-35.0,3.3965967995779853,0.0,1417.0,1419.0
64.0,0.43200000000000005,-24.0,3.3042469660441083,0.0,1434.0,1434.0
65.0,0.4325,10.0,3.235908269882202,1.0,1435.0,1435.0
66.0,0.43300000000000005,-12.0,3.410530169804891,0.0,1438.0,1438.0
67.0,0.4335,-12.0,3.5641053517659507,0.0,1441.0,1441.0
68.0,0.434,10.0,3.6151576042175293,1.0,1442.0,1442.0
69.0,0.4345,-35.0,3.367183038166591,0.0,1475.0,1477.0
70.0,0.435,-35.0,3.389846910749163,0.0,1510.0,1512.0
71.0,0.4355,-35.0,3.3755875655582974,0.0,1545.0,1547.0
72.0,0.436,1.0,3.3172122716903685,1.0,1557.0,1557.0
73.0,0.4365,-35.0,3.3651461328778947,0.0,1590.0,1592.0
74.0,0.437,-18.0,3.334635455032875,1.0,1621.0,1621.0
75.0,0.4375,-12.0,3.5291197299957275,0.0,1624.0,1624.0
76.0,0.438,-35.0,3.313783618382045,0.0,1657.0,1659.0
77.0,0.4385,-35.0,3.2582792350224086,0.0,1692.0,1694.0
78.0,0.439,-35.0,3.307027762276786,0.0,1727.0,1729.0
79.0,0.4395,10.0,3.0546021461486816,1.0,1730.0,1730.0
80.0,0.44,-27.0,3.3267329004075794,0.0,1748.0,1748.0
81.0,0.4405,-2.0,3.38109251169058,1.0,1761.0,1761.0
82.0,0.441,-41.0,3.3506954684853554,0.0,1793.0,1793.0
83.0,0.4415,-35.0,3.2462006637028287,0.0,1826.0,1828.0
84.0,0.442,-36.0,3.304550956796717,0.0,1855.0,1855.0
85.0,0.4425,-2.0,3.3856542110443115,1.0,1868.0,1868.0
86.0,0.443,-10.0,3.0009219646453857,0.0,1869.0,1869.0
87.0,0.4435,-35.0,3.407889951978411,0.0,1902.0,1904.0
88.0,0.444,-11.0,3.1817498207092285,0.0,1906.0,1906.0
89.0,0.4445,-13.0,3.316195487976074,0.0,1910.0,1910.0
90.0,0.445,-10.0,3.109130382537842,0.0,1911.0,1911.0
91.0,0.4455,-11.0,2.7623913288116455,0.0,1913.0,1913.0
92.0,0.446,8.0,3.2653349240620932,1.0,1916.0,1916.0
93.0,0.4465,10.0,3.286350727081299,1.0,1917.0,1917.0
94.0,0.447,9.0,3.642121911048889,1.0,1919.0,1919.0
95.0,0.4475,-13.0,3.1402631998062134,0.0,1923.0,1923.0
96.0,0.448,-35.0,3.235430431365967,0.0,1956.0,1958.0
97.0,0.4485,-35.0,3.3264072963169644,0.0,1991.0,1993.0
98.0,0.449,-35.0,3.3249377523149763,0.0,2026.0,2028.0
99.0,0.4495,-37.0,3.3292774302618846,0.0,2056.0,2056.0
100.0,0.45,-35.0,3.3550442286900113,0.0,2089.0,2091.0
101.0,0.4505,-35.0,3.3599007334027973,0.0,2124.0,2126.0
102.0,0.451,-10.0,3.294127941131592,0.0,2127.0,2127.0
103.0,0.4515,-35.0,3.221234927858625,0.0,2160.0,2162.0
104.0,0.452,-15.0,3.3906026681264243,0.0,2168.0,2168.0
105.0,0.4525,-35.0,3.220538738795689,0.0,2201.0,2203.0
106.0,0.453,-35.0,3.138333184378488,0.0,2236.0,2238.0
107.0,0.4535,-35.0,3.128639330182757,0.0,2271.0,2273.0
108.0,0.454,-43.0,3.2273119056926056,0.0,2307.0,2307.0
109.0,0.4545,10.0,3.2161946296691895,1.0,2308.0,2308.0
