episode,beta,episode_reward,avg_loss,win,replay_size,global_step
1.0,0.40025,-15.0,0.0,0.0,6.0,6.0
2.0,0.4005,5.0,0.0,1.0,12.0,12.0
3.0,0.40075,-35.0,0.0,0.0,45.0,47.0
4.0,0.401,-11.0,0.0,0.0,49.0,49.0
5.0,0.40125,-35.0,3.905748731211612,0.0,82.0,84.0
6.0,0.4015,-15.0,3.8731279770533242,0.0,90.0,90.0
7.0,0.40175,-35.0,3.8268080711364747,0.0,123.0,125.0
8.0,0.402,-35.0,3.7034374577658515,0.0,158.0,160.0
9.0,0.40225,-12.0,3.5886683464050293,0.0,163.0,163.0
10.0,0.4025,-12.0,3.583414634068807,0.0,166.0,166.0
11.0,0.40275,9.0,3.4708515405654907,1.0,168.0,168.0
12.0,0.403,-35.0,3.4431167875017437,0.0,201.0,203.0
13.0,0.40325,-10.0,3.455597162246704,0.0,204.0,204.0
14.0,0.4035,-21.0,3.357287128766378,0.0,216.0,216.0
15.0,0.40375,-35.0,3.2686476707458496,0.0,249.0,251.0
16.0,0.404,-10.0,3.2603824138641357,0.0,252.0,252.0
17.0,0.40425,-35.0,3.119593184334891,0.0,285.0,287.0
18.0,0.4045,-23.0,2.9906591176986694,0.0,301.0,301.0
19.0,0.40475,-35.0,3.0652842249189103,0.0,334.0,336.0
20.0,0.405,-35.0,3.174586520876203,0.0,369.0,371.0
21.0,0.40525,-10.0,2.662707805633545,0.0,372.0,372.0
22.0,0.4055,-35.0,3.0361107758113315,0.0,405.0,407.0
23.0,0.40575,-1.0,2.9506092270215354,1.0,419.0,419.0
24.0,0.406,-35.0,2.984462663105556,0.0,452.0,454.0
25.0,0.40625,-35.0,3.0908057757786342,0.0,487.0,489.0
26.0,0.40650000000000003,-35.0,3.074748686381749,0.0,522.0,524.0
27.0,0.40675,-35.0,3.0463155678340366,0.0,557.0,559.0
28.0,0.40700000000000003,-35.0,3.0959872313908168,0.0,592.0,594.0
29.0,0.40725,-14.0,2.8869388580322264,0.0,599.0,599.0
30.0,0.40750000000000003,8.0,3.0133074124654136,1.0,602.0,602.0
31.0,0.40775,-35.0,3.216258805138724,0.0,635.0,637.0
32.0,0.40800000000000003,-35.0,3.0342494692121234,0.0,670.0,672.0
33.0,0.40825,-15.0,3.1233964761098227,0.0,678.0,678.0
34.0,0.40850000000000003,8.0,2.995973269144694,1.0,681.0,681.0
35.0,0.40875,-35.0,3.078532668522426,0.0,714.0,716.0
36.0,0.40900000000000003,-35.0,3.1464357716696605,0.0,749.0,751.0
37.0,0.40925,-35.0,3.1714107036590575,0.0,784.0,786.0
38.0,0.40950000000000003,-34.0,3.109064359664917,0.0,811.0,811.0
39.0,0.40975,9.0,2.7186553478240967,1.0,813.0,813.0
40.0,0.41000000000000003,-35.0,3.0894930839538572,0.0,846.0,848.0
41.0,0.41025,-35.0,3.2390384537833077,0.0,881.0,883.0
42.0,0.41050000000000003,-10.0,2.496267080307007,0.0,884.0,884.0
43.0,0.41075,-11.0,3.233314871788025,0.0,886.0,886.0
44.0,0.41100000000000003,-35.0,3.0667459760393414,0.0,919.0,921.0
45.0,0.41125,-13.0,3.0255794723828635,1.0,945.0,945.0
46.0,0.41150000000000003,-35.0,3.1641741139548167,0.0,978.0,980.0
47.0,0.41175,-35.0,3.1507805483681817,0.0,1013.0,1015.0
48.0,0.41200000000000003,6.0,2.684095335006714,1.0,1020.0,1020.0
49.0,0.41225,10.0,3.0761022567749023,1.0,1021.0,1021.0
50.0,0.41250000000000003,-35.0,3.157412944521223,0.0,1054.0,1056.0
51.0,0.41275,-35.0,3.1797380719866073,0.0,1089.0,1091.0
52.0,0.41300000000000003,8.0,3.0149359703063965,1.0,1094.0,1094.0
53.0,0.41325,8.0,3.1464226245880127,1.0,1097.0,1097.0
54.0,0.41350000000000003,-10.0,3.0547142028808594,0.0,1098.0,1098.0
55.0,0.41375,-21.0,3.1766598423322043,0.0,1110.0,1110.0
56.0,0.41400000000000003,-11.0,3.3764742612838745,0.0,1112.0,1112.0
57.0,0.41425,8.0,2.9806315898895264,1.0,1115.0,1115.0
58.0,0.41450000000000004,-35.0,3.2338932241712297,0.0,1148.0,1150.0
59.0,0.41475,-35.0,3.11182575907026,0.0,1183.0,1185.0
60.0,0.41500000000000004,-18.0,2.9664749039544,0.0,1194.0,1194.0
61.0,0.41525,-14.0,3.225188398361206,0.0,1199.0,1199.0
62.0,0.41550000000000004,8.0,2.687936544418335,1.0,1202.0,1202.0
63.0,0.41575,8.0,2.8885236581166587,1.0,1205.0,1205.0
64.0,0.41600000000000004,-12.0,3.1446242332458496,0.0,1208.0,1208.0
65.0,0.41625,-35.0,3.1991139207567487,0.0,1241.0,1243.0
66.0,0.41650000000000004,-35.0,3.0947395665305,0.0,1276.0,1278.0
67.0,0.41675,-11.0,2.7668724060058594,0.0,1280.0,1280.0
68.0,0.41700000000000004,9.0,3.135846734046936,1.0,1282.0,1282.0
69.0,0.41725,-35.0,3.051631328037807,0.0,1315.0,1317.0
70.0,0.41750000000000004,-35.0,3.159167194366455,0.0,1350.0,1352.0
71.0,0.41775,-35.0,3.0969204357692175,0.0,1385.0,1387.0
72.0,0.41800000000000004,-10.0,3.818026542663574,0.0,1388.0,1388.0
73.0,0.41825,-35.0,3.001307964324951,0.0,1421.0,1423.0
74.0,0.41850000000000004,-10.0,3.2289912700653076,0.0,1424.0,1424.0
75.0,0.41875,10.0,3.00974178314209,1.0,1425.0,1425.0
76.0,0.41900000000000004,9.0,2.744720458984375,1.0,1427.0,1427.0
77.0,0.41925,-35.0,3.251573501314436,0.0,1460.0,1462.0
78.0,0.41950000000000004,-35.0,2.996821253640311,0.0,1495.0,1497.0
79.0,0.41975,-35.0,3.012380545479911,0.0,1530.0,1532.0
80.0,0.42000000000000004,-11.0,3.3260456323623657,0.0,1534.0,1534.0
