episode,beta,episode_reward,avg_loss,win,replay_size,global_step
1.0,0.40025,-15.0,0.0,0.0,6.0,6.0
2.0,0.4005,5.0,0.0,1.0,12.0,12.0
3.0,0.40075,-35.0,0.0,0.0,43.0,47.0
4.0,0.401,-11.0,0.0,0.0,49.0,49.0
5.0,0.40125,-35.0,3.8780528517330395,0.0,80.0,84.0
6.0,0.4015,-35.0,3.8422340529305594,0.0,115.0,119.0
7.0,0.40175,-35.0,3.828812074661255,0.0,150.0,154.0
8.0,0.402,5.0,3.815615932146708,1.0,160.0,160.0
9.0,0.40225,-12.0,3.7991135742353355,1.0,183.0,183.0
10.0,0.4025,-25.0,3.8060111105442047,0.0,199.0,199.0
11.0,0.40275,-35.0,3.7778818130493166,0.0,230.0,234.0
12.0,0.403,10.0,3.719587802886963,1.0,235.0,235.0
13.0,0.40325,-35.0,3.733704614639282,0.0,266.0,270.0
14.0,0.4035,-35.0,3.69716100692749,0.0,301.0,305.0
15.0,0.40375,-35.0,3.654445907047817,0.0,336.0,340.0
16.0,0.404,-20.0,3.674829027869485,0.0,351.0,351.0
17.0,0.40425,-12.0,3.5588727792104087,0.0,354.0,354.0
18.0,0.4045,-32.0,3.5844551480334736,0.0,377.0,377.0
19.0,0.40475,-35.0,3.5484548568725587,0.0,408.0,412.0
20.0,0.405,-24.0,3.512814092636108,1.0,447.0,447.0
21.0,0.40525,8.0,3.4909861087799072,1.0,450.0,450.0
22.0,0.4055,-35.0,3.5119599137987407,0.0,481.0,485.0
23.0,0.40575,7.0,3.5515666604042053,1.0,489.0,489.0
24.0,0.406,-35.0,3.5088914939335414,0.0,520.0,524.0
25.0,0.40625,-18.0,3.4024316204918756,0.0,533.0,533.0
26.0,0.40650000000000003,-14.0,3.504663276672363,0.0,538.0,538.0
27.0,0.40675,-35.0,3.4864146777561733,0.0,569.0,573.0
28.0,0.40700000000000003,-35.0,3.4095075266701835,0.0,604.0,608.0
29.0,0.40725,-4.0,3.4462801138559978,1.0,623.0,623.0
30.0,0.40750000000000003,-33.0,3.41620280345281,0.0,647.0,647.0
31.0,0.40775,-35.0,3.4025030408586776,0.0,678.0,682.0
32.0,0.40800000000000003,-34.0,3.3747274398803713,0.0,707.0,707.0
33.0,0.40825,-35.0,3.3549079281943186,0.0,738.0,742.0
34.0,0.40850000000000003,-35.0,3.349664967400687,0.0,773.0,777.0
35.0,0.40875,-35.0,3.341234929221017,0.0,808.0,812.0
36.0,0.40900000000000003,-35.0,3.3154527936662945,0.0,843.0,847.0
37.0,0.40925,1.0,3.361019158363342,1.0,857.0,857.0
38.0,0.40950000000000003,-43.0,3.35146988139433,0.0,891.0,891.0
39.0,0.40975,10.0,3.545482635498047,1.0,892.0,892.0
40.0,0.41000000000000003,10.0,2.7953124046325684,1.0,893.0,893.0
41.0,0.41025,-12.0,3.2605624198913574,0.0,896.0,896.0
42.0,0.41050000000000003,-35.0,3.2919977869306294,0.0,927.0,931.0
43.0,0.41075,-17.0,3.343945950269699,0.0,939.0,939.0
44.0,0.41100000000000003,4.0,3.233981336866106,1.0,946.0,946.0
45.0,0.41125,-35.0,3.258871419089181,0.0,977.0,981.0
46.0,0.41150000000000003,-35.0,3.2815989289964946,0.0,1012.0,1016.0
47.0,0.41175,5.0,3.2060468594233194,1.0,1022.0,1022.0
48.0,0.41200000000000003,-35.0,3.1804538999285015,0.0,1053.0,1057.0
49.0,0.41225,8.0,3.3074867725372314,1.0,1060.0,1060.0
50.0,0.41250000000000003,-35.0,3.2214418683733257,0.0,1091.0,1095.0
51.0,0.41275,-35.0,3.1768982069832936,0.0,1126.0,1130.0
52.0,0.41300000000000003,-35.0,3.1569613456726073,0.0,1161.0,1165.0
53.0,0.41325,-35.0,3.1350014209747314,0.0,1196.0,1200.0
54.0,0.41350000000000003,-35.0,3.1361026559557232,0.0,1231.0,1235.0
55.0,0.41375,-11.0,3.393965005874634,0.0,1237.0,1237.0
56.0,0.41400000000000003,-35.0,3.1099577495029993,0.0,1268.0,1272.0
57.0,0.41425,-35.0,3.1067662920270647,0.0,1303.0,1307.0
58.0,0.41450000000000004,-10.0,2.975269079208374,0.0,1308.0,1308.0
59.0,0.41475,-35.0,3.089632763181414,0.0,1339.0,1343.0
60.0,0.41500000000000004,-10.0,3.3086767196655273,0.0,1344.0,1344.0
61.0,0.41525,-15.0,3.034308751424154,0.0,1350.0,1350.0
62.0,0.41550000000000004,-35.0,3.101617077418736,0.0,1381.0,1385.0
63.0,0.41575,-10.0,2.8583576679229736,0.0,1386.0,1386.0
64.0,0.41600000000000004,-35.0,3.0632204123905726,0.0,1417.0,1421.0
65.0,0.41625,-35.0,3.1297873224530903,0.0,1452.0,1456.0
66.0,0.41650000000000004,-35.0,3.075330468586513,0.0,1487.0,1491.0
67.0,0.41675,7.0,3.144799292087555,1.0,1495.0,1495.0
68.0,0.41700000000000004,-35.0,3.132716362816947,0.0,1526.0,1530.0
69.0,0.41725,-35.0,3.0782683304377962,0.0,1561.0,1565.0
70.0,0.41750000000000004,-35.0,3.104868657248361,0.0,1596.0,1600.0
71.0,0.41775,-35.0,3.1369022233145576,0.0,1631.0,1635.0
72.0,0.41800000000000004,6.0,3.009534406661987,1.0,1640.0,1640.0
73.0,0.41825,-10.0,3.783737897872925,0.0,1641.0,1641.0
74.0,0.41850000000000004,-35.0,3.126461410522461,0.0,1672.0,1676.0
75.0,0.41875,-35.0,3.1101596559797016,0.0,1707.0,1711.0
76.0,0.41900000000000004,-35.0,3.1996323244912284,0.0,1742.0,1746.0
77.0,0.41925,-14.0,3.0357224464416506,0.0,1751.0,1751.0
78.0,0.41950000000000004,10.0,2.9217453002929688,1.0,1752.0,1752.0
79.0,0.41975,-35.0,3.012546879904611,0.0,1783.0,1787.0
80.0,0.42000000000000004,-13.0,3.079977810382843,0.0,1791.0,1791.0
