episode,beta,episode_reward,avg_loss,win,replay_size,global_step
1.0,0.40016666666666667,-15.0,0.0,0.0,6.0,6.0
2.0,0.4003333333333334,5.0,0.0,1.0,12.0,12.0
3.0,0.4005,-35.0,0.0,0.0,45.0,47.0
4.0,0.40066666666666667,-11.0,0.0,0.0,49.0,49.0
5.0,0.4008333333333334,-35.0,3.905773978484304,0.0,82.0,84.0
6.0,0.401,-15.0,3.8731857935587564,0.0,90.0,90.0
7.0,0.40116666666666667,-35.0,3.8269080570765905,0.0,123.0,125.0
8.0,0.4013333333333334,-35.0,3.7036961555480956,0.0,158.0,160.0
9.0,0.4015,-12.0,3.5891236464182534,0.0,163.0,163.0
10.0,0.40166666666666667,-12.0,3.583866993586222,0.0,166.0,166.0
11.0,0.4018333333333334,9.0,3.471508264541626,1.0,168.0,168.0
12.0,0.402,-35.0,3.4439567497798373,0.0,201.0,203.0
13.0,0.4021666666666667,-10.0,3.4565346240997314,0.0,204.0,204.0
14.0,0.4023333333333334,-21.0,3.358506500720978,0.0,216.0,216.0
15.0,0.4025,-35.0,3.2701511178697857,0.0,249.0,251.0
16.0,0.4026666666666667,-10.0,3.2620227336883545,0.0,252.0,252.0
17.0,0.4028333333333334,-35.0,3.12168333871024,0.0,285.0,287.0
18.0,0.403,-23.0,2.9933014256613597,0.0,301.0,301.0
19.0,0.4031666666666667,-35.0,3.067832170213972,0.0,334.0,336.0
20.0,0.4033333333333334,-35.0,3.1768886702401296,0.0,369.0,371.0
21.0,0.4035,-10.0,2.666358470916748,0.0,372.0,372.0
22.0,0.4036666666666667,-35.0,3.0390302181243896,0.0,405.0,407.0
23.0,0.4038333333333334,-1.0,2.9540672500928244,1.0,419.0,419.0
24.0,0.404,-35.0,2.987958267756871,0.0,452.0,454.0
25.0,0.4041666666666667,-35.0,3.094072573525565,0.0,487.0,489.0
26.0,0.4043333333333334,-35.0,3.0779936245509556,0.0,522.0,524.0
27.0,0.4045,-35.0,3.0498989037105013,0.0,557.0,559.0
28.0,0.4046666666666667,-35.0,3.0993640695299423,0.0,592.0,594.0
29.0,0.4048333333333334,-14.0,2.891445255279541,0.0,599.0,599.0
30.0,0.405,8.0,3.0172242323557534,1.0,602.0,602.0
31.0,0.4051666666666667,-35.0,3.2194127219063895,0.0,635.0,637.0
32.0,0.4053333333333334,-35.0,3.0390799454280306,0.0,670.0,672.0
33.0,0.4055,-15.0,3.1253780523935952,0.0,678.0,678.0
34.0,0.4056666666666667,8.0,2.9988202253977456,1.0,681.0,681.0
35.0,0.4058333333333334,-35.0,3.1135716370173863,0.0,714.0,716.0
36.0,0.406,-35.0,3.0574198586600168,0.0,749.0,751.0
37.0,0.4061666666666667,-35.0,3.145511565889631,0.0,784.0,786.0
38.0,0.4063333333333334,-35.0,3.0369543143681117,0.0,819.0,821.0
39.0,0.40650000000000003,-10.0,2.3415398597717285,0.0,822.0,822.0
40.0,0.4066666666666667,-35.0,3.025902032852173,0.0,855.0,857.0
41.0,0.4068333333333334,7.0,3.162491261959076,1.0,861.0,861.0
42.0,0.40700000000000003,-35.0,3.1758402143205915,0.0,894.0,896.0
43.0,0.4071666666666667,-35.0,3.007464872087751,0.0,929.0,931.0
44.0,0.4073333333333334,7.0,3.2856324911117554,1.0,935.0,935.0
45.0,0.40750000000000003,-10.0,3.13071870803833,0.0,936.0,936.0
46.0,0.4076666666666667,-35.0,3.0562992777143205,0.0,969.0,971.0
47.0,0.4078333333333334,-35.0,3.093136167526245,0.0,1004.0,1006.0
48.0,0.40800000000000003,-35.0,3.1851498331342425,0.0,1039.0,1041.0
49.0,0.4081666666666667,-10.0,3.1543498039245605,0.0,1042.0,1042.0
50.0,0.4083333333333334,-35.0,3.174717800957816,0.0,1075.0,1077.0
51.0,0.40850000000000003,-35.0,3.2904673440115793,0.0,1110.0,1112.0
52.0,0.4086666666666667,-35.0,3.24458612033299,0.0,1145.0,1147.0
53.0,0.4088333333333334,-40.0,3.440202882212977,0.0,1178.0,1178.0
54.0,0.40900000000000003,-35.0,3.1503477232796806,0.0,1211.0,1213.0
55.0,0.4091666666666667,-35.0,3.1799507754189626,0.0,1246.0,1248.0
56.0,0.4093333333333333,-10.0,2.7438149452209473,0.0,1249.0,1249.0
57.0,0.40950000000000003,-35.0,3.093849427359445,0.0,1282.0,1284.0
58.0,0.4096666666666667,-18.0,3.2573079797956677,0.0,1293.0,1293.0
59.0,0.4098333333333334,-35.0,3.3009085178375246,0.0,1326.0,1328.0
60.0,0.41000000000000003,-35.0,3.1910018554100623,0.0,1354.0,1354.0
61.0,0.4101666666666667,-14.0,3.056588077545166,0.0,1359.0,1359.0
62.0,0.4103333333333333,10.0,3.7888312339782715,1.0,1360.0,1360.0
63.0,0.41050000000000003,-35.0,3.1525954927716935,0.0,1393.0,1395.0
64.0,0.4106666666666667,-35.0,3.168251173836844,0.0,1428.0,1430.0
65.0,0.41083333333333333,-35.0,3.0570288113185335,0.0,1463.0,1465.0
66.0,0.41100000000000003,-35.0,3.1790922573634557,0.0,1498.0,1500.0
67.0,0.4111666666666667,-34.0,3.2026136112213135,0.0,1525.0,1525.0
68.0,0.41133333333333333,-12.0,3.1171697775522866,0.0,1528.0,1528.0
69.0,0.41150000000000003,-35.0,3.099309206008911,0.0,1561.0,1563.0
70.0,0.4116666666666667,-35.0,3.086122683116368,0.0,1596.0,1598.0
71.0,0.41183333333333333,-35.0,3.213506916591099,0.0,1631.0,1633.0
72.0,0.41200000000000003,-35.0,3.1951418467930384,0.0,1666.0,1668.0
73.0,0.4121666666666667,5.0,3.1874970197677612,1.0,1674.0,1674.0
74.0,0.41233333333333333,-12.0,2.858112891515096,0.0,1677.0,1677.0
75.0,0.41250000000000003,-8.0,3.129276526601691,1.0,1696.0,1696.0
76.0,0.4126666666666667,9.0,3.313990592956543,1.0,1698.0,1698.0
77.0,0.41283333333333333,10.0,3.1723339557647705,1.0,1699.0,1699.0
78.0,0.41300000000000003,-5.0,3.3115903735160828,1.0,1715.0,1715.0
79.0,0.4131666666666667,-35.0,3.269108656474522,0.0,1748.0,1750.0
80.0,0.41333333333333333,-35.0,3.251425130026681,0.0,1783.0,1785.0
81.0,0.41350000000000003,-35.0,3.034713315963745,0.0,1818.0,1820.0
82.0,0.4136666666666667,0.0,3.191052935340188,1.0,1831.0,1831.0
83.0,0.41383333333333333,-35.0,3.182480103628976,0.0,1864.0,1866.0
84.0,0.41400000000000003,-35.0,3.0984949452536448,0.0,1899.0,1901.0
85.0,0.4141666666666667,-16.0,3.141973548465305,1.0,1928.0,1928.0
86.0,0.41433333333333333,-11.0,3.272833228111267,0.0,1930.0,1930.0
87.0,0.41450000000000004,7.0,2.9264400601387024,1.0,1934.0,1934.0
88.0,0.4146666666666667,7.0,3.082199513912201,1.0,1938.0,1938.0
89.0,0.41483333333333333,-35.0,3.1801623616899763,0.0,1971.0,1973.0
90.0,0.41500000000000004,-35.0,3.268838405609131,0.0,2006.0,2008.0
91.0,0.4151666666666667,8.0,3.40991202990214,1.0,2011.0,2011.0
92.0,0.41533333333333333,-20.0,3.2511079528115014,0.0,2022.0,2022.0
93.0,0.41550000000000004,7.0,3.1058847308158875,1.0,2026.0,2026.0
94.0,0.4156666666666667,-35.0,3.0992383616311208,0.0,2059.0,2061.0
95.0,0.41583333333333333,-35.0,3.1672129835401264,0.0,2094.0,2096.0
96.0,0.41600000000000004,-35.0,3.269191108431135,0.0,2129.0,2131.0
97.0,0.4161666666666667,9.0,2.8836930990219116,1.0,2133.0,2133.0
98.0,0.41633333333333333,-35.0,3.2032423223767963,0.0,2166.0,2168.0
99.0,0.41650000000000004,-35.0,3.2559791701180596,0.0,2201.0,2203.0
100.0,0.4166666666666667,-35.0,3.203161191940308,0.0,2236.0,2238.0
101.0,0.41683333333333333,8.0,3.2639620304107666,1.0,2241.0,2241.0
102.0,0.41700000000000004,-35.0,3.1189317635127476,0.0,2274.0,2276.0
103.0,0.4171666666666667,-10.0,2.818483829498291,0.0,2277.0,2277.0
104.0,0.41733333333333333,-35.0,3.0233678681509835,0.0,2310.0,2312.0
105.0,0.41750000000000004,-35.0,3.2031422683170865,0.0,2345.0,2347.0
106.0,0.4176666666666667,-11.0,2.6692276000976562,0.0,2349.0,2349.0
107.0,0.41783333333333333,10.0,2.784536361694336,1.0,2350.0,2350.0
108.0,0.41800000000000004,-35.0,3.1125391483306886,0.0,2383.0,2385.0
109.0,0.4181666666666667,-35.0,3.0953419140407017,0.0,2418.0,2420.0
110.0,0.41833333333333333,-35.0,3.1877294404166086,0.0,2453.0,2455.0
111.0,0.41850000000000004,10.0,2.613586902618408,1.0,2456.0,2456.0
112.0,0.4186666666666667,-35.0,3.102058812550136,0.0,2489.0,2491.0
113.0,0.41883333333333334,-12.0,3.043137470881144,0.0,2494.0,2494.0
114.0,0.41900000000000004,-35.0,3.0900279930659704,0.0,2527.0,2529.0
115.0,0.4191666666666667,-35.0,3.024362768445696,0.0,2562.0,2564.0
116.0,0.41933333333333334,-35.0,3.2627898284367154,0.0,2597.0,2599.0
117.0,0.41950000000000004,10.0,3.777385711669922,1.0,2600.0,2600.0
118.0,0.4196666666666667,7.0,3.364741265773773,1.0,2604.0,2604.0
119.0,0.41983333333333334,-35.0,3.190753085272653,0.0,2637.0,2639.0
120.0,0.42000000000000004,-35.0,3.0878210817064558,0.0,2672.0,2674.0
121.0,0.4201666666666667,-35.0,3.1307353155953543,0.0,2707.0,2709.0
122.0,0.42033333333333334,-35.0,3.2319257259368896,0.0,2742.0,2744.0
123.0,0.42050000000000004,-12.0,3.1946747303009033,0.0,2747.0,2747.0
124.0,0.4206666666666667,-35.0,3.230828060422625,0.0,2780.0,2782.0
125.0,0.42083333333333334,-35.0,3.111706522532872,0.0,2815.0,2817.0
126.0,0.42100000000000004,8.0,3.08925191561381,1.0,2820.0,2820.0
127.0,0.4211666666666667,-35.0,3.1604567459651403,0.0,2853.0,2855.0
128.0,0.42133333333333334,-35.0,3.049420254571097,0.0,2888.0,2890.0
129.0,0.42150000000000004,-35.0,3.201108660016741,0.0,2923.0,2925.0
130.0,0.4216666666666667,-10.0,2.8559658527374268,0.0,2926.0,2926.0
131.0,0.42183333333333334,-35.0,3.131081962585449,0.0,2959.0,2961.0
132.0,0.42200000000000004,-24.0,3.0849550655909947,1.0,2996.0,2996.0
133.0,0.4221666666666667,-35.0,3.072407102584839,0.0,3029.0,3031.0
134.0,0.42233333333333334,-12.0,3.418387015660604,0.0,3034.0,3034.0
135.0,0.42250000000000004,-10.0,2.658527374267578,0.0,3035.0,3035.0
136.0,0.4226666666666667,-35.0,3.1344107695988246,0.0,3068.0,3070.0
137.0,0.42283333333333334,-12.0,3.1023124059041343,0.0,3073.0,3073.0
138.0,0.42300000000000004,-35.0,3.105091415132795,0.0,3106.0,3108.0
